soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
"Artrit, eritema kronikum migrans, fasial paralizi kliniklerine yol açabilen; lxodes türü kenelerin ısırması ile bulaşan bakteri aşağıdakilerden hangisidir?",C,Bahsedilen klinik Lyme hastalığıdır.,Leptospira spp.,Borrelia recurrentis,Borrelia burgdorferi,Staphylococcus aureus,Treponema pallidum,98.0,tipakademi.json,
"Özellikle enfekte kemiricilerin idrar ve dokuları ile direkt ya da indirekt teması sonrasında insanlara bulaşan, karaciğer ve böbrek yetmezliğine giden ciddi hastalık tablolarına neden olabilen, referans standart yöntem olarak mikroskobik aglütinasyon testinin kullanıldığı enfeksiyon hastalığına neden olan mikroorganizma aşağıdakilerden hangisidir?",D,"Lağımcı Leptospira ... Fare idrarı, lağım sularından geçerek ateş, sarılık, aseptik menenjit kliniğine neden olur.",Escherichia coli,Treponema pallidum,Borrelia recurrentis,Leptospira spp.,Staphyloccus epidermidis,99.0,tipakademi.json,
Chlamydia trachomatiis hangi komponentine göre serovarlara ayrılır?,B,"C.trachomatis, Major Other Membran Proteini'ne göre alt gruplara ayrılmaktadır: A,B,C,D,K ... gibi İnternalin ve ActA Listeia monocytogenes'e ait virülans faktörleri olup, internelin hedef hücreye bağlanmadan sorumludur. ActA sayesinde ise konak hücreden aktin roketlerini edinen bakteri hücreden hücreye salınım gösterir. Lipid A, gram negatiflerde bulunan ve septik şok gelişimine neden olan komponenttir. Somatik O Antijeni, gram negatiflerde bulunan ve gram negatif bakterilerin serolojik olarak gruplandırılmasını sağlayan komponenttir.",Lipid A,Major other membran protein,İnternalin,ActA,Somatik O Antijeni,100.0,tipakademi.json,
Aşağıdaki cinsel yolla bulaşan etkenler­ den hangisi ağrılı lenf bezleri ile karakterize lenfogranuloma venereum kliniğine neden olmaktadır?,C,,Treponema pallidum,HSV-2,Chlamydia trachomatis,Haemophilus ducreyi,HIV,101.0,tipakademi.json,
"Genç bir hasta ateş, siyanoz, dispne şika­ yetiyle acil servise getiriliyor. Hastanın evinde kanarya beslediği öğreniliyor. Tedavide seçilmesi gereken ilaç aşağıdakilerden hangisidir?",C,"Papağanla, kanarya ile temas öyküsü sonrası ati pik pnömoni ... c.r sittaci T davi... Doksisiklin, Tetrasiklin",Streptomisin,Sülfonamidler,Tetrasiklin,Penisilin,Kloramfenikol,102.0,tipakademi.json,
Aşağıdaki bakterilerden hangisinin tipik lezyonu vaskülittir?,C,"Riketsiya'lar için genel özellik artropodlar aracılı bulaşıp, vaskülite neden olmalarıdır.",Mycoplasma pneumoniae,Coxiella burnetti,Rickettsia typhi,Chlamydia pnemoniae,Spirillum minus,103.0,tipakademi.json,
İnsana bulaşta sıklıkla vektöre ihtiyaç duymayan Riketsiyal enfeksiyon etkeni nedir?,A,,Coxiella burnettii,Rickettsia typhi,Rickettsia prowazekii,Orientia tsutsugamushi,Rickettsia mooseri,104.0,tipakademi.json,
Aşağıdaki hastalıklardan hangisi insanlara çiğ süt yoluyla bulaşır?,D,,Epidemik tifüs,Kayalık dağlar benekli ateşi,Endemik tifüs,Q ateşi,Brill-Zinsser hastalığı,105.0,tipakademi.json,
Benekli ateş grubunda yer alan hangi patojende riketsiyal enfeksiyonun oluşumun­ da vektör olarak mite rol oynamaktadır?,B,Mite = Akar= R. AKARi :),Rickettsia australis,Rickettsia akari,Rickettsia sibirica,Rickettsia rickettsii,Rickettsia conori,106.0,tipakademi.json,
Epidemik tifüs insanlara aşağıdaki vektörlerden hangisi aracılığıyla bulaşır?,A,"Eridemik tifüs etkeni R.Prowazekii olup, bitler aracılığı ile bulaşmaktadır. R.prowazekii, yıllar sonra nüks ederek Brill-Zinser hastalığına neden olabilmektedir.",Bit,Tatarcık,Mayt,Kene,Pire,107.0,tipakademi.json,
"Uzak Doğu ülkelerinden özellikle Japonya'da görülmesi nedeniyle bu isimle anılan, akar larvaları ile insana bulaşan, nehir kıyıları/ otlaklarda yaşayan kişilerde görülmesi nedeniyle ""Çalılık Ateşi"" olarak bilinen ve konakta hücre sitoplazmasında yaşayan zorunlu hücre içi bakteri aşağıdakilerden hangisidir?",C,O.tuşituşiKAMUŞİ... KAMIŞ ... ÇALILIK Tifüsü:),Rickettsia prowazeki,Ricketsia akari,Orientia tsutsugamushi,Rickettsia conori,Coxiella burnetti,108.0,tipakademi.json,
"63 yaşında kadın hasta ateş, baş ağrısı, miyalji ve halsizlik şikayeti ile başvuruyor. Hasta yaklaşık iki hafta kadar önce bacağından iki adet keneyi uzaklaştırdığını hatırlıyor. Lökopeni ve nötropenisi olan hastanın bir süre sonra döküntüsü meydana geliyor. Kan, BOS ve dışkı kültürleri negatif gelen hastanın Giemsa boyamasında granülositik hücrelerin içerisinde intraselüler canlılar görülüyor. Bahsi geçen kliniğe neden olabilecek en olası mikroorganizma aşağıdakilerden hangisidir?",D,MEGA ... Monositler'de inklüzyon ... Erlichia chaffeensis Granülositler'de inklüzyon ... Anaplasma phagocytophilum,Babesia microti,Coxiella burnetii,Ricketsia akarii,Anaplasma phagocytophilium,Plasmodium falciparum,109.0,tipakademi.json,
"Hücresel immun yetmezliği olanlarda meningoensefalit etkeni olan, kavun, süt ve süt ürünleri kaynaklı besin zehirlenmesine neden olabilen, psikrofil, gram pozitif sporsuz basil hangisidir?",A,"Bu da bonus soru ... Hücresel yanıtı su prese olmuş bireylerde menenjite, İmmun sistemi normal konakta kavun, süt kaynaklı besin zehirlenmesine neden olabilen psikrofil bakteri. .. Listeria",Listeria monocytogenes,Yersinia enterocolitica,Mycobacterium bovis,Brucella abortus,Staphylococcus aureus,110.0,tipakademi.json,
"56 yaşında kadın hasta, sağ kolunda abse gelişmesi üzerine alınan örnekte Nafsilin'e dirençli S.aureus üremesi üzerine Vankomisin ile tedavi ediliyor. Enfeksiyonun tekrarlaması üzerine yeniden Vankomisin ile tedavi edilen hasta bu kez tedavisinden yanıt alınamıyor. Yapılan tetkiklerinde Vankomisin için MIC değeri 4-8 µg/ml arasında saptanıyor.

Bahsi geçen hastadaki durumun meydana gelmesinde en olası mekanizma hangisidir?",C,"Bahsi geçen tablo VISA olup, temel mekanizma­ sı bakterinin hücre duvar kalınlığını artırması ve hücre duvar yapılarını değiştirmesidir. A şıkkı ... Stafilokok'tarın Beta Laktamlar'a en sık direnç geliştirme meknaizmasıdır. B şıkkı ... VRSA ve VRE'deki mekanizmadır. D şıkkı ... MRSA'daki mekanizma E şıkkı ... Aktif effluks sistemi. Başlıca Tetrasiklin direncinde karşımıza çıkar.",Bakterinin Beta laktamaz üretmesi,Bakterinin farklı pentapeptid öncülleri sentezi,Bakterinin hücre duvar kalınlığını artması ve hücre hücre duvar yapılarını değiştirmesi,Bakterinin farklı bir PBP üretimi,Bakterinin antibiyotiği ATP bağımlı mekanizma ile hücre dışına göndermesi,111.0,tipakademi.json,
Aşağıdaki Stafilokoklar'dan hangisi koagülaz üretir ve köpek ısırığı ile geçer?,C,"S.intermedius tüp koagülazı pozitif olup, köpek ısırığı sonrası klinikle karşımıza gelmektedir.",S.epidermidis,S.hominis,S.intermedius,S.saprophyticus,S. hemolyticus,112.0,tipakademi.json,
13-Valanlı Pnömokok aşısı aşağıdaki grupların hangisine önerilmektedir?,B,,Etkene maruz kalanlara,2-23 ay arası çocuklar+ Seçilmiş daha ileri yaştaki çocuklar+ İmmunsupresif erişkinler,2 yaş üzeri bütün yaş grupları,24-72 yaş arası çocuklar,18 yaşına kadar olan çocuklar,113.0,tipakademi.json,
"Beyin enfeksiyonlarında çoklu mikrobiyal etkenler arasında yer alan, kültürde üredi­ ğinde tipik olarak karamel şeklinde kokan ,katalaz (·), küçük beta hemolitik kolonilere sahip, Grup F antiserumu ile aglütinasyon veren bakteri hangisidir?",B,Bahsi geçen özellikler S.anginosus'a aittir.,E.Faecalis,S.anginosus,S.pyogenes,S.aureus,S.epidermidis,114.0,tipakademi.json,
Streptokoklar'ın sınıflaması amacıyla kullanılan yöntem aşağıdakilerden hangisidir?,E,Bütün yöntemler Streptokoklar'ın gruplandırıl­ masında kullanılmaktadır. Kapsül Şişme Deneyi Pnömokoklar ve Grup B Streptokoklar'ın sınıflandırılmasında kullanılır.,Hücre duvarı grup spesifik antijeni,Biyokimyasal testler,Hemolitik özellikler,Kapsül Şişme Deneyi,Hepsi,115.0,tipakademi.json,
Streptococcus pyogenes'in hyalüronik asit yapıdaki kapsülü ile ilgili hangi ifade yanlıştır?,C,S.pyogenes kapsülü hyaluronik asit yapıda olması nedeni ile immun sistemi uyarmaz. Sonuç olarak aşı için uygun bir hedef değildir ve bakteriyi immun sistemden korumaktadır. Kapsül için reseptör İnsan epitel hücrelerindeki CD44 reseptörleridir. Kapsüllü bakteriler tipik olarak mukoid koloniler oluşturmaktadır.,Kapsüle sahip alt tipler kültürde mukoid koloniler oluşturur.,İnsan epitel hücrelerindeki CD44 reseptörlerine bağlanır.,Bu komponentinden aşısı geliştirilmiştir.,Bakterinin immun sistemden kamufle olmasını sağlar.,Hiçbiri,116.0,tipakademi.json,
Aşağıdakilerden hangisi çoğalmak için Piridoksal'e gereksinim gösterir?,C,,Aerococcus,Pediococcus,Granulicatella,Enterococcus,Leuconostoc,117.0,tipakademi.json,
Hangi bakteri tipik olarak Van kom isin'e dirençlidir?,D,"Abiotrophia, Granulicatella ... Çoğalmak için Piridoksal'e gereksinimi vardır. Pı!dio ccus, Leuconosto ... V nkomisin'e doğal dirençlidir.",Aerococcus,Abiotrophia,Gemella,Pediococcus,Streptococcus,118.0,tipakademi.json,
İnhalasyon Şarbonu için enkübasyon süresi ne zamana kadar sürebilir?,D,İnhalasyon Şarbon'unda enkübasyon süresi 6-8 haftaya kadar sürebilir.,3 gün,12 gün,3 hafta,6 hafta,6 ay,119.0,tipakademi.json,
Erysipelothrix rhusiopathiae için en önemli tanımlama testi aşağıdakilerden hangisidir?,D,H2S (+)'liği E.rhusiopathiae için çok değerlidir.,Katalaz (+)'liği,Eskülin hidrolizi,Aside dirençli boyama,H2S (+)'liği,Hareket testi,120.0,tipakademi.json,
Aşağıdaki bakterilerden hangisi sahip olduğu üreaz enzimi aracılığı ile böbrek taşına neden olur?,C,,Proteus,Corynebacterium urealyticum,Her ikisi de,Hiçbiri,Bilmiyorum,121.0,tipakademi.json,
Aşağıdaki bakterilerden hangisinin kliniği sırasında idrarda amonyak kokusu tipiktir?,C,,Proteus,Corynebacterium urealyticum,Her ikisi de,Hiçbiri,Bilmiyorum,122.0,tipakademi.json,
İnterferon-gama salıverilme testi (IGRA) ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,C,"Tüberkülin deri testi gibi iCRA da Tüberküloz duyarlılığının tespiti amacıyla kullanılmaktadır. Th, hücrelerin salıverdiği IFN-gama miktarı ölçümü esasına dayanır. Tüberkülin deri testinden farklı olarak aşılanmadan etkilenmemektedir.",Aktif Tüberküloz'un tespitinde immunsupresif hastalarda kullanılmaktadır.,Mikroorganizmanın DNA'sının tespiti esasına dayanmaktadır.,Tüberkülin deri testinin alternatifi olarak latent Tüberküloz'un tespiti amacıyla kullanılmaktadır.,Mikobakteri türlerine ait antijenlerin tespiti esasına dayanmaktadır.,Hiçbiri,123.0,tipakademi.json,
STEC'in tanısını koymada duyarlılığı fil düşük olan test aşağıdakilerden hangisidir?,A,Şıklarda bahsi geçen testlerin hepsi STEC'İn tanı­ sında kullanılmaktadır; fakat içlerinde duyarlılığı en düşük olanı Sorbitollü MacConkey agarda bakteri kültürüdür.,Sorbitollü MacConkey agarda bakteri kültürü,ELISA ile toksinin tespiti,Vero hücre kültürü,PCR ile toksini üreten genin saptanması,Hepsi eşit duyarlılığa sahiptir,124.0,tipakademi.json,
Aşağıdakilerden hangisi mantarlar tarafından üretilen bir mikotoksin değildir?,E,"Melanin, C.neoformans tarafından üretilen bir virülans faktörüdür.",Sitrinin,Fumonisin,Okratoksin,Patulin,Melanin,125.0,tipakademi.json,
Doku örneklerinde mevcut olan mantar yapılarının mikroskopik olarak saptanabilme­ si için kullanılması önerilen en başarılı boyama yöntemi aşağıdakilerden hangisidir?,C,Gomori Metanamin Silver yani Metanamin Gümüşleme boyası doku örneklerinde mantarların gösterilmesi için kullanılır. Wright ve Giemsa boyaları hücre içileri göstermek için kullanılmaktadır. Hematoksilen -eozin histolojide doku örneklerini göstermek amacıyla kullanılmaktadır. Papanicolau boyası da sıklıkla kadın doğum derslerinde karşımıza çıkıyor. Örneğin HPV'de koilositik değişimi göstermek için .,Wright,Giemsa,Metenamin gümüşleme,Hematoksilen-eozin,Papanicolaou,126.0,tipakademi.json,
"Besiyerinin içine doğru üreme, bej-portakal renginde kolonileri olan ve mikroskopide geyik boynuzu hifler oluşturan mantar hangisidir?",C,"Bahsi geçen özellikler Favus etkeni olan T.schönleinii'ye aittir. T.mentagraphes, kıl delme testi ve üreazının pozitif olması ile karşımıza çıkıyor. Microsporum'larda ise genel olarak wood ışığında floresans verirler (M.gypseum floresans vermez).",T.mentagraphytes,T.rubrum,T.schönleinii,M.canis,M.gypseum,127.0,tipakademi.json,
Aşağıdaki mikozlardan hangisinde beta 1-3-D-glukan testi genellikle negatiftir?,E,Beta-glukan testi. invaziv fungal enfeksiyonların tanısında kullanılmaktadır. Zigomiçetlerde ve C.neoformans'ta ise Beta-glukan testi negatif çıkar.,Kandidoz,Aspergilloz,Trikosporonoz,Fusaryoz,Kriptokokkoz,128.0,tipakademi.json,
"Hayat döngüsünde kist, sporozoit ve trofozoit formları olan fırsatçı mantar hangisidir?",B,"P.jirovecii, AIDS'li hastada CD4+ T Lenfosit sayısı 200 'ün altına indiğinde interstisyel pnömoni etkeni olarak karşımıza çıkar. Hayat döngüsünde kist, sporozoit ve trofozoit formları bulunmaktadır. Hatta bu nedenle daha önceleri bir parazit olarak kabul edilirken, günümüzde yapılan moleküler tetkikler sonucunda mantarların içerisinde değerlendiril­ mektedir.",Rhizopus arrhizus,Pneumocystis jirovecii,Blastomyces dermatidis,C.immitis,Cryptococcus neoformans,129.0,tipakademi.json,
Aşağıdaki mantarlardan hangisi altta yatan hastalığı ya da risk faktörü olmayan bir kişide enfeksiyon oluşturabilir?,D,"""Hangisi fırsatçı patojen değildir?"" diye sorulmuş. Sistemik mikoz etkenleri, primer patojen olup, altta yatan risk faktörü olmadan da hastalığa neden olabilirler .",Candida,Rhizopus,Aspergillus,Histoplasma,Fusarium,130.0,tipakademi.json,
Aşağıdaki mantar türlerinden hangisinin neden olduğu bir enfeksiyon kuşkusu durumunda klinik örnekler mutlaka klas il biyogüvenlik kabinlerinde incelenmeli ve işlenmelidir?,D,"C.immitis, sistemik mikoz etkeni olup, artrosporların inhalasyonu ile bulaşmaktadır. Bu nedenle BSL-3 güvenlik önlemlerinde, klas il biyogüvenlik kabinlerinde çalışılmalıdır.",Cryptococcus neoformans,Aspergillus niger,Fusarium moniliforme,Coccidioides immitis,Rhizopus oryzae,131.0,tipakademi.json,
Laboratuvar tanısında agara yayılan kırmızı pigment oluşturduğu gözlenen dimorflk mantar aşağıdakilerden hangisidir?,A,,Penicillium marneffei,Coccidioides immitis,Paracoccidioides brasiliensis,Histoplasma capsulatum,Sporothrix schenckii,132.0,tipakademi.json,
İmmün sistemi baskılanmış kadında beyin omurilik sıvısında polisakkarit antijeni ile lateks aglütinasyonu (+) olan fungal etken aşağıdakilerden hangisidir?,A,,Cryptococcus neoformans,Histoplasma capsulatum,Actinomyces israelii,Candida albicans,Nocardia asteroides,133.0,tipakademi.json,
AIDS'li bir hastanın beyin omurilik sıvısında kapsüllü mantar izole edilirse en olası etken aşağıdakilerden hangisidir?,C,,Histoplasma capsulatum,lsospora belli,Cryptococcus neoformans,Candida albicans,Toxoplasma gondii,134.0,tipakademi.json,
"Polisakkarit bir kapsülü bulunan, fenol oksidaz içeren ve menenjite yol açabilen mantar aşağıdakilerden hangisidir?",B,İmmunsupresif hastada menenjit+ kapsüllü maya+ Fenol oksidaz (+)'liği... Cryptococcus neoformans,Candida albicans,Cryptococcus neoformans,Histoplasma capsulatum,Coccidioides immitis,Blastomyces dermatitidis,135.0,tipakademi.json,
"Balgamın mikroskobik incelenmesinde septalı, filamentöz yapılar gözleniyor. Bu durumda aşağıdakilerden hangi etken düşünülmelidir?",B,45 derecelik açı ile dallanan septalı hifler denildiğinde akla başta Aspergillus gelir.,Chlamydia,Aspergillus,Legionella,Mycoplasma,Candida,136.0,tipakademi.json,
Aspergillus familyasından en sık enfeksiyon ve alerjik reaksiyona yol açan tür aşağıdakilerden hangisidir?,A,Aspergillus türleri içerisinde en sık enfeksiyon ve alerjik reaksiyona neden olanı Aspergillus fumigatus't'ur. Aspergillus flavus ... Ürettiği Aflatoksin adı verilen mikotoksin ile hepatoselüler karsinoma yol açar.,Aspergillus fumigatus,Aspergillus flavus,Aspergillus niger,Aspergillus terreus,Aspergillus nidulans,137.0,tipakademi.json,
"Akciğerde alveoller içinde köpüksü, eozinofil içeren materyal ve interstisyel dokuda mononükleer hücre infiltrasyonu ile karakterize bir pnömonide, etken mikroorganizma aşağıdakilerden hangisidir?",E,,Staphylococcus aureus,Streptococcus pneumoniae,Mycoplasma pneumoniae,Adenovirus,Pneumocystis jirovecii,138.0,tipakademi.json,
Yayılmasında ve bulaşmasında özellikle kuş gübreleri rol oynayan mantar aşağıdaki­ lerden hangisidir?,A,"Cryptococcus neoformans, özellikle iı c ı c:.rt-ıl. r ın 'n ala;ı,yonu ile bulaşmaktadır.",Cryptococcus neoformans,Candida albicans,Sporothrix schenckii,Trichophyton schoenleinii,Aspergillus fumigatus,139.0,tipakademi.json,
Aşağıdaki mantarlardan hangisi dimorfik üreme özelliğine sahip değildir?,D,,Coccidioides immitis,Paracoccidioides basiliensis,Histoplasma capsulatum,Cryptococcus neoformans,Blastomyces dermatitidis,140.0,tipakademi.json,
"Diyabetik ketoasidozu olan bir hastada baş ağrısı, ateş ve orbital selülit bulguları ortaya çıkıyor. Alınan sinüs biyopsisinin yapılan mikrobiyolojik incelemesinde septasız ve dik açılarla dallanan hifler saptanıyor. Bu durumda etken olarak öncelikle aşağıdaki mikroorganizmalardan hangisi düşünülmelidir?",E,"Diabetik ketoasidozlu hasta, 90 derecelik açı ile dallanan, septasız hifler ... Mucorales ailesi (Rhizopus vs.)",Aspergillus türleri,Penicillium türleri,Fusarium türleri,Pseudoallscheria türleri,Rhizopus türleri,141.0,tipakademi.json,
